numero_alimento,descricao,categoria,umidade_pct,energia_kcal,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,manganes_mg,fosforo_mg,ferro_mg,sodio_mg,potassio_mg,cobre_mg,zinco_mg,retinol_mcg,RE_mcg,RAE_mcg,tiamina_mg,riboflavina_mg,piridoxina_mg,niacina_mg,vitamina_c_mg
1,"Arroz, integral, cozido","Cereais e derivados",70.1,124,2.6,1.0,NA,25.8,2.7,0.5,5,59,,,,,,,,,,,,,,,
3,"Arroz, tipo 1, cozido","Cereais e derivados",69.1,128,2.5,0.2,NA,28.1,1.6,0.1,4,2,,,,,,,,,,,,,,,
35,"Farinha, de trigo","Cereais e derivados",13.0,360,9.8,1.4,NA,75.1,2.3,0.8,18,31,,,,,,,,,,,,,,,
40,"Macarrão, trigo, cru","Cereais e derivados",10.2,371,10.0,1.3,NA,77.9,2.9,0.5,17,28,,,,,,,,,,,,,,,
53,"Pão, trigo, francês","Cereais e derivados",28.5,300,8.0,3.1,NA,58.6,2.3,1.8,16,25,,,,,,,,,,,,,,,
91,"Batata, inglesa, cozida","Verduras, hortaliças e derivados",86.4,52,1.2,Tr,NA,11.9,1.3,0.5,4,5,,,,,,,,,,,,,,,
107,"Cebola, crua","Verduras, hortaliças e derivados",88.9,39,1.7,0.1,NA,8.9,2.2,0.4,14,12,,,,,,,,,,,,,,,
110,"Cenoura, crua","Verduras, hortaliças e derivados",90.1,34,1.3,0.2,NA,7.7,3.2,0.9,23,11,,,,,,,,,,,,,,,
117,"Couve-flor, crua","Verduras, hortaliças e derivados",92.8,23,1.9,0.2,NA,4.5,2.4,0.6,18,12,,,,,,,,,,,,,,,
149,"Repolho, branco, cru","Verduras, hortaliças e derivados",94.7,17,0.9,0.1,NA,3.9,1.9,0.4,35,9,,,,,,,,,,,,,,,
157,"Tomate, com semente, cru","Verduras, hortaliças e derivados",95.1,15,1.1,0.2,NA,3.1,1.2,0.5,7,11,,,,,,,,,,,,,,,
161,"Tomate, salada","Verduras, hortaliças e derivados",93.6,21,0.8,Tr,NA,5.1,2.3,0.4,7,10,,,,,,,,,,,,,,,
163,"Abacate, cru","Frutas e derivados",83.8,96,1.2,8.4,NA,6.0,6.3,0.5,8,15,,,,,,,,,,,,,,,
164,"Abacaxi, cru","Frutas e derivados",86.3,48,0.9,0.1,NA,12.3,1.0,0.4,22,18,,,,,,,,,,,,,,,
179,"Banana, nanica, crua","Frutas e derivados",73.8,92,1.4,0.1,NA,23.8,1.9,0.8,3,28,,,,,,,,,,,,,,,
182,"Banana, prata, crua","Frutas e derivados",71.9,98,1.3,0.1,NA,26.0,2.0,0.8,8,26,,,,,,,,,,,,,,,
208,"Laranja, baía, crua","Frutas e derivados",87.1,45,1.0,0.1,NA,11.5,1.1,0.4,35,9,,,,,,,,,,,,,,,
239,"Morango, cru","Frutas e derivados",91.5,30,0.9,0.3,NA,6.8,1.7,0.5,11,10,,,,,,,,,,,,,,,
256,"Uva, Itália, crua","Frutas e derivados",85.0,53,0.7,0.2,NA,13.6,0.9,0.6,7,5,,,,,,,,,,,,,,,
278,"Atum, fresco, cru","Pescados e frutos do mar",73.1,118,25.7,0.9,48,0.0,NA,1.3,7,32,,,,,,,,,,,,,,,
315,"Salmão, filé, com pele, fresco, grelhado","Pescados e frutos do mar",60.9,229,23.9,14.0,85,0.0,NA,1.3,29,28,,,,,,,,,,,,,,,
321,"Sardinha, inteira, crua","Pescados e frutos do mar",76.6,114,21.1,2.7,61,0.0,NA,1.6,167,29,,,,,,,,,,,,,,,
326,"Carne, bovina, acém, moído, cozido","Carnes e derivados",61.6,212,26.7,10.9,103,0.0,NA,0.8,4,17,,,,,,,,,,,,,,,
345,"Carne, bovina, contra-filé, sem gordura, cru","Carnes e derivados",69.1,157,24.0,6.0,59,0.0,NA,1.0,4,21,,,,,,,,,,,,,,,
346,"Carne, bovina, contra-filé, sem gordura, grelhado","Carnes e derivados",57.5,194,35.9,4.5,102,0.0,NA,1.3,5,21,,,,,,,,,,,,,,,
371,"Carne, bovina, músculo, sem gordura, cozido","Carnes e derivados",62.8,194,31.2,6.7,56,0.0,NA,0.9,5,13,,,,,,,,,,,,,,,
391,"Frango, asa, com pele, crua","Carnes e derivados",67.5,213,18.1,15.1,113,0.0,NA,0.7,11,23,,,,,,,,,,,,,,,
405,"Frango, inteiro, sem pele, cru","Carnes e derivados",74.9,129,20.6,4.6,78,0.0,NA,0.9,7,27,,,,,,,,,,,,,,,
407,"Frango, peito, com pele, cru","Carnes e derivados",71.9,149,20.8,6.7,80,0.0,NA,0.9,8,28,,,,,,,,,,,,,,,
409,"Frango, peito, sem pele, cru","Carnes e derivados",74.8,119,21.5,3.0,59,0.0,NA,1.0,7,31,,,,,,,,,,,,,,,
410,"Frango, peito, sem pele, grelhado","Carnes e derivados",63.8,159,32.0,2.5,89,0.0,NA,1.4,5,18,,,,,,,,,,,,,,,
432,"Porco, lombo, assado","Carnes e derivados",56.6,210,35.7,6.4,103,0.0,NA,1.4,20,18,,,,,,,,,,,,,,,
433,"Porco, lombo, cru","Carnes e derivados",67.7,176,22.6,8.8,55,0.0,NA,1.0,4,24,,,,,,,,,,,,,,,
448,"Iogurte, natural","Leite e derivados",90.0,51,4.1,3.0,14,1.9,NA,0.9,143,11,,,,,,,,,,,,,,,
453,"Leite, condensado","Leite e derivados",27.0,313,7.7,6.7,28,57.0,NA,1.6,246,22,,,,,,,,,,,,,,,
461,"Queijo, minas, frescal","Leite e derivados",56.1,264,17.4,20.2,62,3.2,NA,3.0,579,7,,,,,,,,,,,,,,,
463,"Queijo, mozarela","Leite e derivados",45.3,330,22.6,25.2,80,3.0,NA,3.8,875,24,,,,,,,,,,,,,,,
486,"Ovo, de galinha, clara, cozida/10minutos","Ovos e derivados",85.2,59,13.4,0.1,NA,0.0,NA,0.7,6,11,,,,,,,,,,,,,,,
487,"Ovo, de galinha, gema, cozida/10minutos","Ovos e derivados",50.0,353,15.9,30.8,1272,1.6,NA,1.7,114,9,,,,,,,,,,,,,,,
488,"Ovo, de galinha, inteiro, cozido/10minutos","Ovos e derivados",75.8,146,13.3,9.5,397,0.6,NA,0.8,49,11,,,,,,,,,,,,,,,
489,"Ovo, de galinha, inteiro, cru","Ovos e derivados",75.6,143,13.0,8.9,356,1.6,NA,0.8,42,13,,,,,,,,,,,,,,,
507,"Mel, de abelha","Produtos açucarados",15.8,309,0.0,0.0,NA,84.0,NA,0.1,10,6,,,,,,,,,,,,,,,
561,"Feijão, carioca, cozido","Leguminosas e derivados",80.35,76.42,4.78,0.54,NA,13.59,8.51,0.74,26.59,42.34,0.28,86.85,1.29,1.76,254.62,0.19,0.70,NA,NA,NA,0.04,Tr,Tr,Tr,Tr
